lead_time,total_stay,adr,total_guests,total_of_special_requests,hotel,arrival_date_month,market_segment,distribution_channel,customer_type,deposit_type,is_repeated_guest,actual_is_canceled,pred_cancel_prob
364,2,101.5,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient-Party,Non Refund,0,1,0.9927723060690052
164,6,87.6,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.32761305036657934
517,2,62.8,2.0,0,City Hotel,December,Groups,TA/TO,Transient,Non Refund,0,1,0.999147850692861
37,2,115.0,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.1988112994698862
54,1,65.0,1.0,1,City Hotel,November,Corporate,Corporate,Transient,No Deposit,0,0,0.10936333683194785
35,3,151.5,2.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,1,0.33249847784290126
36,3,159.0,3.0,1,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.31954253719695946
218,7,110.05,3.0,1,Resort Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.2249590911954941
161,4,46.8,2.0,1,Resort Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,1,0.39339191376186416
223,1,133.2,3.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.5281078327164941
11,1,130.0,2.0,1,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,1,0.28101783762538696
321,2,62.8,2.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,1,1,0.44521378458140737
9,3,85.0,1.0,0,City Hotel,February,Online TA,TA/TO,Transient-Party,No Deposit,0,1,0.31969657239685073
44,2,150.3,3.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.5173918880900022
37,6,106.9,2.0,0,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.44425715985190906
0,1,125.0,1.0,0,City Hotel,April,Corporate,Corporate,Transient,No Deposit,1,0,0.1735084793615063
31,3,194.0,2.0,0,City Hotel,May,Direct,Direct,Transient,No Deposit,0,0,0.22529304775065695
34,1,75.0,1.0,0,City Hotel,January,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.19240953378785228
90,4,127.71,3.0,3,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.1556936916834691
478,4,107.0,2.0,1,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.34940854408329597
27,4,128.28,2.0,0,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.45623536533913545
38,1,74.0,2.0,2,Resort Hotel,February,Direct,Direct,Transient,No Deposit,0,0,0.04353083593589145
92,3,85.0,2.0,0,City Hotel,March,Groups,Direct,Transient,Non Refund,0,1,0.9838547370110821
11,3,120.0,2.0,0,City Hotel,May,Direct,Direct,Transient,No Deposit,0,0,0.17864018757092565
188,2,130.0,1.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9892749737990907
5,4,95.5,1.0,0,City Hotel,February,Direct,Direct,Transient,No Deposit,0,0,0.19349281379361302
12,4,293.1,4.0,1,Resort Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.15416728788886816
2,1,109.0,1.0,0,City Hotel,June,Corporate,Corporate,Transient,No Deposit,0,0,0.16623146630666505
191,1,71.1,2.0,0,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,0,0.6155509183673797
17,3,64.0,2.0,0,Resort Hotel,December,Direct,Direct,Transient,No Deposit,0,1,0.16495785089327797
157,9,139.5,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.5090119483418487
10,3,84.24,2.0,0,Resort Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.41940270359322757
18,1,104.0,2.0,0,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,0,0.44210038537325547
226,4,139.0,2.0,1,City Hotel,June,Online TA,TA/TO,Contract,No Deposit,0,1,0.4266197455912169
3,3,90.1,2.0,1,City Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.2575160185070251
269,14,106.85,2.0,0,Resort Hotel,July,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.3867898562959156
108,1,46.4,2.0,2,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.13049707280853134
34,1,75.0,2.0,0,City Hotel,January,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.10280416215350668
114,3,115.6,3.0,1,City Hotel,May,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.15031577618115705
0,7,0.0,2.0,0,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.15592803463188115
19,4,62.0,2.0,0,City Hotel,July,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.2111009279930423
246,7,58.95,2.0,0,Resort Hotel,September,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.2124892895084315
86,1,85.0,2.0,0,City Hotel,January,Groups,TA/TO,Transient,Non Refund,0,1,0.9925873809722943
149,3,99.0,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.6029495118533238
123,2,139.5,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.3850098564447145
7,1,48.0,2.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.16660343686142917
111,5,214.0,2.0,1,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.41696547869636913
81,2,90.0,2.0,1,City Hotel,May,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.1393208905312103
2,4,84.5,1.0,1,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.28247257441490664
212,7,147.0,3.0,0,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.7079986764688827
30,2,140.0,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.980727089812662
63,4,49.0,1.0,0,Resort Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.405281582167339
117,4,93.5,2.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9879587387683266
97,4,56.7,2.0,0,Resort Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.17736547647628567
191,6,91.94,2.0,1,City Hotel,June,Direct,Direct,Transient,No Deposit,0,1,0.19629115349304396
240,11,167.85,3.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.6651477396436762
1,2,167.0,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.4673503375753679
0,2,109.0,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.1041373022555983
99,1,81.0,1.0,0,City Hotel,February,Corporate,TA/TO,Transient-Party,No Deposit,0,0,0.24337652355458808
34,1,75.0,1.0,0,City Hotel,January,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.19240953378785228
44,4,104.63,2.0,2,City Hotel,October,Online TA,TA/TO,Contract,No Deposit,0,0,0.13666363598981537
138,3,94.5,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.1804793598288934
315,2,65.0,2.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.4631995954164761
114,5,109.8,3.0,2,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.3019679935722164
126,5,144.5,2.0,2,City Hotel,July,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.17121597847273454
158,4,81.24,2.0,2,Resort Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.22272861614763273
0,1,194.0,4.0,0,Resort Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.18678409965032536
9,3,268.0,4.0,1,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.3666415756693786
364,5,60.0,1.0,0,Resort Hotel,October,Groups,Corporate,Transient-Party,No Deposit,0,0,0.41385308308378504
226,3,99.0,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.47843746070653476
139,4,103.05,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.6038603342998383
331,5,107.1,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.6486099734185875
91,1,79.2,2.0,1,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,1,0.35969206807573934
163,7,140.76,2.0,1,Resort Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.18129105431351994
8,3,127.0,3.0,0,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,1,0.5276564206233224
325,3,95.0,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9951676060543747
34,3,65.0,1.0,0,City Hotel,November,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.21410926377861275
37,4,95.4,2.0,1,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.2734031496529092
11,5,158.4,2.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.15616104518431603
9,1,89.0,2.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.3883083923383111
5,2,88.0,2.0,3,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.08396916581652472
14,4,215.0,2.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.17257226162207268
22,4,112.25,2.0,2,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.17101121655010462
205,3,120.0,2.0,0,City Hotel,September,Groups,TA/TO,Transient,Non Refund,0,1,0.9959641748312312
148,5,67.0,2.0,0,City Hotel,December,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9909406029008181
145,3,72.5,1.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.162235954850517
55,2,120.0,1.0,0,City Hotel,May,Groups,TA/TO,Transient,No Deposit,0,0,0.3404065256460925
202,3,96.3,2.0,2,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.30457130442527136
26,7,97.29,2.0,1,Resort Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,1,0.2733645848494509
29,3,120.6,2.0,0,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.4103020740778149
65,4,149.4,2.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.3341568873785384
20,4,45.65,1.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.17958750507325064
6,2,159.0,1.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.24456217284581433
222,7,182.75,2.0,2,Resort Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.13017976713287985
423,3,112.67,2.0,1,City Hotel,June,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.45631757632041586
72,3,178.0,2.0,0,City Hotel,July,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.41641320548196603
34,2,82.8,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.13501864773193922
1,7,216.29,2.0,1,Resort Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.11144699451759794
221,3,79.5,2.0,2,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.34890870103939076
124,3,51.13,2.0,3,Resort Hotel,December,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.06464439259305792
279,4,139.5,3.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.7700908465004697
26,6,171.0,4.0,0,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,1,0.6345833480501298
43,3,150.3,3.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.5150365158876856
42,4,135.9,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.3248220414308943
41,1,99.0,2.0,0,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.41843728039425554
316,3,100.0,1.0,0,City Hotel,May,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.4927616270953483
10,1,95.0,1.0,0,City Hotel,July,Corporate,Corporate,Transient-Party,No Deposit,0,0,0.1074533758507368
106,3,118.8,2.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,1,0.3870175104533934
150,8,126.86,3.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.4934881267262062
336,3,60.0,1.0,0,Resort Hotel,September,Groups,Direct,Transient-Party,No Deposit,0,0,0.24576740151520857
44,3,75.0,2.0,0,City Hotel,February,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9843060603482988
47,7,70.38,2.0,0,Resort Hotel,February,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.15747172814810534
1,1,89.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.24530027512079614
105,6,69.0,2.0,0,Resort Hotel,November,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.1435294772834537
122,4,75.9,2.0,2,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,1,0.23461188966521027
29,2,104.5,1.0,2,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.12856130654212203
321,2,62.8,2.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,1,1,0.44521378458140737
179,7,93.6,3.0,1,City Hotel,July,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.21686331332442602
9,2,67.5,2.0,0,City Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,1,0.402773216106258
147,2,75.0,2.0,0,City Hotel,July,Groups,TA/TO,Transient,No Deposit,0,1,0.4413776985407746
180,5,107.1,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.6487321723236441
121,7,72.0,2.0,0,Resort Hotel,April,Groups,Direct,Transient,Non Refund,0,1,0.987117610898219
14,2,36.0,1.0,0,Resort Hotel,October,Direct,Direct,Transient,No Deposit,0,0,0.11726246301784223
193,3,160.2,3.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.741876596593055
48,2,140.4,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.30806383339754856
309,2,62.0,2.0,0,City Hotel,May,Groups,TA/TO,Transient,Non Refund,0,1,0.9971488056123181
86,1,85.0,2.0,0,City Hotel,January,Groups,TA/TO,Transient,Non Refund,0,1,0.9925873809722943
9,2,135.5,2.0,0,Resort Hotel,April,Direct,Direct,Transient,No Deposit,0,0,0.15668802703137624
239,7,158.0,3.0,0,Resort Hotel,April,Groups,Corporate,Transient-Party,No Deposit,0,1,0.40814660813006093
2,2,65.0,1.0,1,City Hotel,December,Corporate,Corporate,Transient,No Deposit,1,0,0.09614067763213502
192,3,135.0,2.0,0,City Hotel,May,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9912576664785567
66,2,64.0,2.0,0,Resort Hotel,December,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.23362489643932854
288,3,81.67,2.0,0,City Hotel,May,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.47379253971056207
7,1,65.0,1.0,0,City Hotel,October,Direct,Direct,Transient-Party,No Deposit,0,0,0.08746699061784219
2,3,177.67,2.0,1,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.2539808128058265
5,3,117.67,2.0,2,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.1370084465770759
243,7,51.85,2.0,0,Resort Hotel,September,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.31255819669376705
153,4,123.97,3.0,2,Resort Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.23526914777822694
174,2,174.75,4.0,0,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.38902998600143446
39,1,129.7,1.0,0,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.41162073026026597
433,2,62.0,2.0,0,City Hotel,September,Groups,TA/TO,Transient,Non Refund,0,1,0.9982558590489988
82,4,85.0,2.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.23391592878456743
15,5,60.0,2.0,0,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.35183381599020047
150,4,135.0,3.0,2,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.3052680817389742
237,8,164.7,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.5920429282264521
108,2,80.0,2.0,0,City Hotel,March,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9830854530439649
8,1,79.0,1.0,0,City Hotel,March,Complementary,Direct,Transient,No Deposit,1,1,0.16653564057437703
82,2,130.0,2.0,0,City Hotel,May,Groups,TA/TO,Transient,Non Refund,0,1,0.993314021887762
10,2,170.0,2.0,2,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.1613566756247147
157,3,113.1,2.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.5939803552899798
211,2,85.0,2.0,0,Resort Hotel,May,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.3266401317660712
101,3,112.5,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.2344009926013708
73,3,140.0,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.3370798135874008
259,3,40.05,2.0,0,Resort Hotel,September,Groups,Corporate,Transient,Non Refund,0,1,0.9927621209567249
29,2,90.25,1.0,2,City Hotel,September,Online TA,TA/TO,Contract,No Deposit,0,0,0.08986366097687784
126,7,192.0,2.0,2,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.26295043797990425
206,5,177.75,3.0,3,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.2392048888732031
37,5,97.29,1.0,1,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.24191692268919415
202,3,128.7,3.0,0,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,1,0.701038809218984
133,3,124.8,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.6001882483067715
115,3,65.0,2.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.2734502849168249
320,7,89.1,2.0,1,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.3253469358186935
198,2,60.0,2.0,0,City Hotel,October,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.3714809947257092
2,1,166.0,2.0,0,City Hotel,August,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.23102668733206275
95,3,89.25,2.0,2,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.18170282460928933
35,2,224.0,4.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.41193747155868704
0,1,89.0,2.0,0,City Hotel,March,Direct,Direct,Transient,No Deposit,0,0,0.13686655436488593
0,1,129.0,1.0,1,Resort Hotel,July,Offline TA/TO,TA/TO,Transient,No Deposit,1,0,0.05668341680433321
0,1,0.0,1.0,4,City Hotel,September,Complementary,Direct,Transient,No Deposit,1,0,0.007975674795732413
144,3,96.3,2.0,1,City Hotel,June,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.2643480220069485
8,3,111.0,3.0,3,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.10282560385480591
227,3,99.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.5075307024778789
0,2,95.0,1.0,0,City Hotel,May,Direct,Direct,Transient,No Deposit,1,0,0.13180746323315382
5,1,30.0,1.0,0,Resort Hotel,March,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.08863503639556276
247,2,115.0,2.0,1,City Hotel,June,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.13537089947741118
11,3,43.0,1.0,0,Resort Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.32421972695069046
48,3,85.5,2.0,1,City Hotel,October,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.10707129390468567
86,2,105.0,2.0,0,City Hotel,September,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.12769198868942602
18,2,43.0,1.0,1,Resort Hotel,January,Online TA,Direct,Transient,No Deposit,1,0,0.08625686723551228
66,3,80.1,2.0,1,City Hotel,April,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.11267281109606589
89,2,113.4,1.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.3318108683896938
168,3,85.0,2.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.989763696097186
38,5,149.68,3.0,0,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.5387082094760622
100,5,74.8,2.0,1,City Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,1,0.36275986507730895
41,2,95.0,1.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.4396051916653584
32,6,110.0,2.0,0,Resort Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.45566691389584785
13,1,38.0,2.0,0,Resort Hotel,November,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.15591464892865162
181,7,74.49,2.0,0,Resort Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.6143440884101736
489,2,62.8,2.0,0,City Hotel,November,Groups,TA/TO,Transient,Non Refund,0,1,0.998883658478236
245,1,80.0,2.0,0,Resort Hotel,September,Groups,TA/TO,Transient,Non Refund,0,1,0.9948451949985367
28,9,160.0,3.0,1,Resort Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.12901913390108616
125,4,140.0,2.0,1,Resort Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.34962905492532126
76,7,204.86,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.4505026282802368
58,6,144.67,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.5504396083874774
63,3,105.3,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.33102532712440824
54,1,67.0,1.0,0,City Hotel,March,Corporate,Corporate,Transient,No Deposit,1,1,0.1618732890736584
154,9,52.2,2.0,1,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.3856950225094183
31,3,75.0,2.0,0,City Hotel,September,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.09907281284946601
128,10,80.0,2.0,0,Resort Hotel,April,Groups,TA/TO,Contract,No Deposit,0,0,0.3847096896519361
45,5,74.8,2.0,0,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.4488775353698007
131,7,88.4,2.0,1,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,1,0.47731115881695096
0,2,110.7,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.42880279447232317
19,4,99.45,2.0,1,City Hotel,November,Online TA,TA/TO,Contract,No Deposit,0,0,0.22985049717509087
0,1,176.0,3.0,1,Resort Hotel,August,Direct,TA/TO,Group,No Deposit,1,0,0.0673565017581647
233,4,86.63,2.0,1,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.21871424324416688
284,3,126.0,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.7518028030937401
110,7,205.38,4.0,2,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.3581653935677745
155,4,118.75,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.618698261349635
4,1,138.0,1.0,0,Resort Hotel,August,Corporate,Corporate,Transient,No Deposit,0,0,0.16111773978293395
14,7,113.14,3.0,3,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.09371061918667288
7,2,95.0,2.0,0,City Hotel,March,Direct,Direct,Transient,No Deposit,0,1,0.14842003652804286
99,4,166.0,2.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.21245083546138346
358,1,59.0,1.0,0,City Hotel,June,Groups,TA/TO,Transient,Non Refund,0,1,0.9972645264265689
3,5,170.0,1.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.22173498117753762
23,1,133.95,3.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.45809229429762377
1,1,275.0,4.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.35875755010234467
0,2,80.0,2.0,0,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.3373080022017425
22,3,133.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.3064588175663991
180,3,126.0,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.4508082414949513
193,14,42.95,2.0,2,Resort Hotel,May,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.07627064016472267
1,5,152.0,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.29298746436508233
61,5,140.0,2.0,0,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.49539750756971224
117,1,99.0,2.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.5166854670615719
5,1,130.0,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.2683617839805434
349,6,123.33,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.42248441018958227
1,1,34.0,2.0,1,Resort Hotel,February,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.03918063816691743
0,1,55.0,2.0,0,Resort Hotel,February,Direct,Direct,Transient,No Deposit,0,0,0.138775448671215
17,4,141.0,2.0,2,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.16406971332715628
160,4,164.15,2.0,1,Resort Hotel,August,Direct,Direct,Transient,No Deposit,0,1,0.17156920260515118
72,2,146.7,3.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.36434032963457547
174,5,241.1,4.0,1,Resort Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.2584019805146242
271,8,72.05,2.0,0,Resort Hotel,October,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.4039985491130509
151,7,171.5,2.0,0,Resort Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.3240434209885882
87,1,100.0,2.0,0,City Hotel,September,Corporate,Corporate,Transient-Party,No Deposit,0,1,0.14817351409526075
32,5,170.88,3.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.539378815102775
39,5,43.2,2.0,0,Resort Hotel,November,Corporate,Corporate,Transient-Party,No Deposit,0,0,0.12170993161149989
27,3,177.0,2.0,2,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.19629652201738418
272,2,62.8,2.0,0,City Hotel,July,Groups,TA/TO,Transient-Party,No Deposit,1,1,0.4145988969180335
346,12,96.3,2.0,0,Resort Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.5465599277145972
6,1,46.0,2.0,2,Resort Hotel,October,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.029728701103504417
171,3,132.5,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.4509674909770088
411,6,71.1,2.0,0,Resort Hotel,May,Groups,TA/TO,Transient,Non Refund,0,1,0.9981765053763096
